location,loctype,counts,lon,lat,comments,attitudes,reposts,price,introduction,开放时间,关闭时间,动物,赏花,文化典故,美食,带娃
鉴真东渡纪念馆,博物馆,11,120.634003,31.84745,23,2,3,0,鉴真纪念堂位于扬州市古大明寺内，1973年建成，以纪念对中日两国文化交流作出重大贡献的鉴真和尚。由我国著名建筑学家梁思成参照鉴真在日本的主要遗物唐招提寺金堂设计建筑，典雅古朴，保存了唐代的建筑艺术风格。前面是门厅，上悬匾额；中间为碑厅，内立横式纪念碑；后为殿堂，按唐代寺庙殿堂的风格建造，堂内正中为鉴真楠木雕像，仿鉴真圆寂前塑造的干漆夹紵像制作而成，神态安详而坚毅。东西两侧壁上是鉴真东渡事迹的饰布画，分别是西安大雁塔、肇庆七星岩、日本九洲秋妻屋浦和奈良唐招提寺金堂，向人们展示了鉴真生活和经历过的地方。,8:30,17:00,,,1,,
茅盾纪念馆,博物馆,40,120.4896,30.74595,56,0,10,0,"桐乡市茅盾纪念馆占地面积1611平方米，建筑面积为116.47平方米。是社会科学类名人专题纪念馆。
1984年8月，设置“桐乡县茅盾故居管理所”1985年7月4日。茅盾故居落成对外开放。1990年6月11日，对立志书院仿原貌重修，作为茅盾生平陈列馆。1991年7月4日，正式落成开放。1993年5月，桐乡撤县设市，“桐乡县茅盾故居管理所”随之更名为“桐乡市茅盾故居管理所”。1994年8月31日，更名为“桐乡市茅盾纪念馆”。 [3]截至2019年，桐乡市茅盾纪念馆有藏品数量543件/套，珍贵文物64件/套。",8:00,17:00,,,1,,
苏州碑刻博物馆,博物馆,5,120.623451,31.295574,9,0,0,0,"州碑刻博物馆位于江苏省苏州市府学文庙内，是一座收藏、研究、陈列和复制古代碑刻的专题类博物馆。博物馆馆舍苏州文庙府学始建于北宋景祐二年（1035年）。1986年10月，苏州碑刻博物馆正式成立并对外开放。苏州碑刻博物馆占地15000平方米，建筑总面积3757平方米。
苏州碑刻博物馆基本陈列包括“四大宋碑陈列”、“大成殿孔子文化陈列”、“清代苏州工商经济碑刻陈列”、“古代书法碑刻陈列”、“明伦堂范仲淹与府学陈列”、“儒学碑刻陈列”、“古代农业经济碑刻陈列”、“现代书法碑刻陈列”、“德善书院陈列”、“清风堂廉石文化陈列”等。截至2017年12月，该博物馆馆藏文物总计7437件，珍贵文物1192件，其中国家一级文物4件、国际二级文物261件、国家三级文物927件。",9:00,17:00,,,1,,1
苏州博物馆,博物馆,6836,120.63215,31.29256,13207,736,1018,0,"苏州博物馆，位于苏州市姑苏区东北街204号，成立于1960年1月1日，馆址为太平天国忠王府。2006年10月6日，由贝聿铭设计的苏州博物馆本馆建成并正式对外开放。本馆占地面积约10700平方米，建筑面积19000余平方米，加上太平天国忠王府，总建筑面积26500平方米。2021年9月25日，苏州博物馆西馆开放试运行，建筑面积48365平方米，展陈面积13391平方米。苏州博物馆是收藏、展示、研究、传播苏州历史、文化、艺术的地方性综合性博物馆。
苏州博物馆共有吴地遗珍、吴塔国宝、吴中风雅、吴门书画四个基本陈列，馆藏藏品总数24819件/套，珍贵文物9734件/套，其中一级品222件/套，二级品829件/套，三级品8683件/套，以历年考古出土文物、明清书画和工艺品见长。
苏州博物馆太平天国忠王府为首批全国重点文物保护单位。2008年5月，苏州博物馆成为首批国家一级博物馆。",9:00,17:00,,,1,,1
苏州革命博物馆,博物馆,12,120.58082,31.29731,17,0,2,0,"苏州革命博物馆建成于1993年，占地10000多平方米，展区分两层，面积4000平方米，共有两项基本陈列和两个临时展厅。整体建筑具有鲜明的革命纪念主题特色和浓厚的历史文化气息。

基本陈列《光辉的历程——中国共产党在苏州》，通过3个展厅的介绍，借助历史照片、文字和革命文物等，系统讲述了在中国共产党的领导下，苏州人民走过的革命、建设和改革开放的光辉历程。大型多媒体半景画演示项目《阳澄烽火》，借助声、光、电等多种演示手段与1000平方米的巨型油画、500平方米的场景模型完美结合，细致还原了发生在抗日战争时期阳澄湖地区的“洋沟溇战斗”。

苏州革命博物馆是省爱国主义教育基地、省党史教育基地、省社会科学普及示范基地、省国防教育基地和省青少年科技教育示范基地，省一级党员教育实境课堂示范点，为江苏省文明单位。",8:30,16:30,,,1,,
苏州美术馆,博物馆,6,120.612053,31.325808,12,5,40,0,"2010年年初落成的苏州美术馆新馆总投资3.72亿元，总建筑面积3.34万平方米。新馆位于北寺塔西北面，东临人民路，西抵桃花河两岸，北以校场桥路为界，与周边北寺塔、桃花坞木刻年画博物馆、昆剧传习所、朴园、唐寅纪念馆等文物和景观遥相呼应，使苏州古城区西北角形成一个集非物质文化遗产保护和展示、市民休闲旅游和文化活动于一体的文化区域。
新建成的苏州美术馆采用传统苏式民居样式，飞檐翘角、粉墙黛瓦，古典花窗。馆内透过许多长形与方形的隔间，构成多长廊的建筑格局。灰色屋顶线条层层跌落，既满足建筑空间通风、采光等的需求，也形成富有韵味的变化效果，阳光和微风充分流动在各个角落，一派“苏而新”的风格。
场馆分地下一层和地上两层。一层有层高8米，面积达800平方米的大展厅一个，其余面积在300至400平方米的6个小展厅则分散在一、二层，馆内还特别设置多功能学术报告厅、恒温恒湿库房、市民画廊，可以满足各类大中型美术展览、学术交流活动以及美术典藏与研究的需要，同时兼具交流、教育、艺术服务等多种功能。此外，还附有会议室、考级室、活动策划室、舞蹈培训室、艺术创作室等功能空间。",9:00,17:00,,,1,,
苏州民俗博物馆,博物馆,28,120.62957,31.3211,50,0,2,0,"苏州是著名的历史文化古城，在悠久的历史岁月中，苏州人民创造了灿烂的物质文化和精神文明，形成了独具特色的吴中文化及别有情趣的民间风俗。坐落于古典名园狮子林东侧的苏州民俗博物馆就是一座以展览苏州民间传统风俗的专业博物馆，建筑面积约500多平米，位于苏州古典园林狮子林东侧古宅内。房屋结构具有清代建筑特色，为省级文物保护单位。1986年11月苏州建城2500年时正式开放。
",8:30,17:00,,,1,,1
苏州市名人馆,博物馆,4,120.616203,31.323322,11,0,0,0,"苏州市名人馆位于苏州市人民路2075号公共文化中心内，名人馆中展示的447位姑苏先贤，是苏州“物华天宝、人杰地灵”的精彩实证。建筑面积2368平方米，展陈面积1500平方米。全馆陈列以苏州历史名人、状元宰相和两院院士共计447人为展示对象。
名人馆特设了两个专题厅“状元宰辅厅”和“院士厅”进行展示。苏州市名人馆现免费开放，安排了讲解员在每天固定时间为观众提供讲解服务并播放多媒体短片。节假日照常开放。
",8:30,17:00,,,1,,
苏州丝绸博物馆,博物馆,43,120.62249,31.32082,52,3,0,0,"苏州丝绸博物馆位于江苏省苏州市北寺塔风景区内，是一座丝绸专业博物馆。该博物馆于1991年9月21日正式对外开放，2013年10月1日起对公众免费开放。苏州丝绸博物馆占地9500平方米，展陈面积4000平方米。
苏州丝绸博物馆设有历史馆、现代馆、少儿科普馆、桑梓苑和丝织机械陈列室、钱小萍丝绸文化艺术馆六大展区，其中历史馆包括古代厅、蚕桑居、织染坊、贡织院、民国街和非遗厅六部分。截至2019年8月，该博物馆拥有从新石器时代到明清时期的文物级藏品700余件，各类标本及资料藏品3000余件。",9:00,17:00,,,1,,
苏州文庙,博物馆,169,120.62381,31.29502,273,20,131,0,"州文庙，位于江苏省苏州市人民路，截至2021年4月，面积17000平方米，[1]北宋名臣范仲淹于景祐二年（1035年）创建，被誉称江南学府之冠，是中国重点文物保护单位，全国第二大孔庙[1]

范仲淹出任苏州知州的次年，在南园遗址上，设学立庙，聘请著名教育家胡瑗为教授，主要建筑有棂星门、大成殿、崇圣祠等。",9:00,17:00,,,1,,
