location,lon,lat,,,,,,,,,,,,,
乾隆诗碑,116.3016927,39.99280801,,,,,,,,,,,,,
石雕五供,116.3020754,39.99295117,,,,,,,,,,,,,
翻尾石鱼,116.3022521,39.99310702,,,,,,,,,,,,,
石像生,116.3023888,39.99078485,,,,,,,,,,,,,
杭爱碑（右）,116.3023821,39.99109309,,,,,,,,,,,,,
杭爱碑（左）,116.3017731,39.99101094,,,,,,,,,,,,,
梅石碑,116.3023111,39.99219459,,,,,,,,,,,,,
半月台乾隆诗碑,116.2984789,39.99548066,,,,,,,,,,,,,
镜春园石碑,116.3046245,39.99535374,,,,,,,,,,,,,
朗润园石碑,116.3045776,39.99643768,,,,,,,,,,,,,
塞万提斯纪念碑,116.3001524,39.99149461,,,,,,,,,,,,,
麒麟（右）,116.3002632,39.99334579,,,,,,,,,,,,,
麒麟（左）,116.3001789,39.99343326,,,,,,,,,,,,,
冠军浮雕,116.3093854,39.98814801,,,,,,,,,,,,,
民主与科学,116.3033288,39.986959,,,,,,,,,,,,,
蔡元培像,116.3014209,39.99296158,,,,,,,,,,,,,
李大钊像,116.3020233,39.99163722,,,,,,,,,,,,,
西南联大纪念碑,116.2991899,39.99236136,,,,,,,,,,,,,
邱德拔体育馆,116.3090001,39.98799975,,,,,,,,,,,,,
陈岱孙雕塑,116.3037703,39.98823638,,,,,,,,,,,,,
法学院獬豸雕像,116.3071567,39.99340945,,,,,,,,,,,,,
光华舞女雕像,116.3071379,39.99361394,,,,,,,,,,,,,
北大百年纪念雕塑,116.3030951,39.99349079,,,,,,,,,,,,,
北京大学星雕塑,116.3031178,39.99332431,,,,,,,,,,,,,
赛克勒雕塑园-智圣雕塑,116.2992365,39.99453111,,,,,,,,,,,,,
