location,lon,lat,animal,,,,,,,,,,,,,,
标本馆,116.3055725,39.991523,哺乳动物、爬行动物、昆虫等标本,,,,,,,,,,,,,,
地质博物馆,116.3094499,39.9864978,古生物,,,,,,,,,,,,,,
翻尾石鱼,116.3022521,39.993107,"常见：锦鲤、家鸭、绿头鸭、鸳鸯、黑天鹅、麻雀、喜鹊
少见：苍鹭、龟类、蛙类、绿翅鸭、猫头鹰、戴圣等",,,,,,,,,,,,,,
慈济寺山门,116.3042595,39.9927552,"锦鲤、家鸭、绿头鸭、鸳鸯、黑天鹅、麻雀、喜鹊
",,,,,,,,,,,,,,
燕南园道路,116.3028161,39.988199,猫咪、松鼠、刺猬,,,,,,,,,,,,,,
鸣鹤园,116.2993356,39.9939947,白鸭、锦鲤,,,,,,,,,,,,,,
赛克勒雕塑园-智圣雕塑,116.2992365,39.9945311,松鼠,,,,,,,,,,,,,,
红湖,116.3007635,39.995355478278405,锦鲤、绿头鸭、家鸭,,,,,,,,,,,,,,
校景亭下方池,116.30034196494121,39.99506957665272,黑天鹅（小天鹅）、绿头鸭、家鸭、白鸭,,,,,,,,,,,,,,
燕南食堂对面草地,116.30403239747613,39.98956337979677,松鼠、啄木鸟,,,,,,,,,,,,,,
燕南园西侧道路,116.30146834342767,39.9888251,猫咪,,,,,,,,,,,,,,
新太阳南侧,116.30499626387055,39.9870834,猫咪,,,,,,,,,,,,,,
博雅学堂门前空地,116.30569978441213,39.99006169107632,猫咪,,,,,,,,,,,,,,
窄亭,116.30807335284003,39.99397488100262,猫咪,,,,,,,,,,,,,,
